ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_Membranestainintensityconversions,Intensity_IntegratedIntensity_Membranestainintensityconversions,Intensity_LowerQuartileIntensity_Membranestainintensityconversions,Intensity_MADIntensity_Membranestainintensityconversions,Intensity_MassDisplacement_Membranestainintensityconversions,Intensity_MaxIntensityEdge_Membranestainintensityconversions,Intensity_MaxIntensity_Membranestainintensityconversions,Intensity_MeanIntensityEdge_Membranestainintensityconversions,Intensity_MeanIntensity_Membranestainintensityconversions,Intensity_MedianIntensity_Membranestainintensityconversions,Intensity_MinIntensityEdge_Membranestainintensityconversions,Intensity_MinIntensity_Membranestainintensityconversions,Intensity_StdIntensityEdge_Membranestainintensityconversions,Intensity_StdIntensity_Membranestainintensityconversions,Intensity_UpperQuartileIntensity_Membranestainintensityconversions,Location_CenterMassIntensity_X_Membranestainintensityconversions,Location_CenterMassIntensity_Y_Membranestainintensityconversions,Location_CenterMassIntensity_Z_Membranestainintensityconversions,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_Membranestainintensityconversions,Location_MaxIntensity_Y_Membranestainintensityconversions,Location_MaxIntensity_Z_Membranestainintensityconversions,Number_Object_Number
1,79,58.45496237,770.3845391,0.671143115,0.011464119,0.186044224,0.759253204,0.759253204,0.695892409,0.684178099,0.682279706,0.649197519,0.638060927,0.024220231,0.018490789,0.694235176,501.8920847,427.6726687,0,501.9094139,427.8579041,493,408,0,79
1,80,201.8365535,3902.16508,0.679004252,0.011136591,0.053034874,0.784474313,0.807730079,0.708198433,0.690893251,0.689158201,0.660989165,0.629544735,0.020046944,0.017336884,0.701277435,265.6083647,444.9684388,0,265.6207507,445.0200071,226,466,0,80
1,81,148.8110054,2270.416966,0.674418628,0.012119234,0.06504012,0.752374709,0.774975419,0.69537853,0.686964286,0.685882747,0.647232234,0.629217148,0.018164585,0.017465732,0.698575154,476.0356594,455.4928976,0,476.0508321,455.429652,472,426,0,81
1,82,133.5944971,1822.781526,0.67671144,0.012119174,0.177815694,0.761873543,0.772027493,0.706849191,0.69123304,0.687520444,0.653455615,0.632492602,0.023464829,0.020726164,0.702587605,340.3084418,447.2974209,0,340.1399317,447.3541904,306,456,0,82
1,83,131.6331477,1774.190302,0.671798229,0.011136591,0.036795504,0.744186044,0.762856185,0.700176318,0.684223024,0.682279706,0.654765785,0.637078285,0.016365264,0.017437396,0.694726527,62.59828974,450.2198012,0,62.56151176,450.2186656,84,465,0,83
1,84,108.2479526,1112.338355,0.681297064,0.010809004,0.047222592,0.740255475,0.751392066,0.702908783,0.692614169,0.6917786,0.663937092,0.633147717,0.017582892,0.016743274,0.702587605,381.3322254,456.6812085,0,381.3723537,456.7061021,388,477,0,84
1,85,132.963642,1658.491975,0.673763514,0.010809004,0.076059079,0.783164084,0.783164084,0.692518969,0.685327262,0.683589935,0.652472973,0.625614166,0.020105482,0.016559335,0.695381582,425.8050522,473.0638305,0,425.8764463,473.0376033,461,483,0,85
1,86,132.56207,1742.568619,0.674418628,0.011136591,0.133666119,0.765149057,0.766131699,0.697695105,0.686861892,0.68424499,0.657386184,0.626596808,0.019553932,0.018325974,0.697346866,120.4620865,472.9203714,0,120.3646039,473.011825,151,467,0,86
1,87,129.8716012,1757.29217,0.673108399,0.010481536,0.112581093,0.747461498,0.790370107,0.690806389,0.684570382,0.683262348,0.65411073,0.632492602,0.017262657,0.016612979,0.69439894,55.02747375,488.4345598,0,54.91507596,488.4409817,89,477,0,87
1,88,39.50278413,489.8617744,0.670242369,0.009171307,0.103585473,0.71568948,0.952833295,0.681082485,0.683210285,0.678349137,0.657058656,0.628562093,0.01200506,0.029460962,0.688093677,9.617913969,491.950348,0,9.631799163,492.0529986,7,483,0,88
